track name,artist,genre,streams,pos
Coming Up Roses,Harry Styles,pop,1418986,122
Nice To Each Other,Olivia Dean,pop,1416007,123
Counting Stars,OneRepublic,pop,1414383,124
Fame is a Gun,Addison Rae,pop,1404894,125
Only Girl (In The World),Rihanna,pop,1398296,126
Bring Me To Life,Evanescence,rock,1396427,127
Don't Stop The Music,Rihanna,pop,1395227,128
Timeless (w/ Playboi Carti),The Weeknd,r&b,1392146,129
Promiscuous (w/ Timbaland),Nelly Furtado,pop,1390532,130
"Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",Pitbull,dance-pop,1389531,131
"chiclona (w/ Tito Double P, LENCHO)",Peso Pluma,regional mexicano,1389411,132
no tiene sentido,Beéle,latin,1380148,133
Kiss It Better,Rihanna,pop,1379747,134
Body,Don Toliver,billboard hot 100,1377373,135
The Night We Met,Lord Huron,indie rock,1368186,137
Sweet Child O' Mine,Guns N' Roses,hard rock,1367839,138
Let Me Love You (w/ Justin Bieber),DJ Snake,dance,1364636,139
Numb,Linkin Park,nu metal,1350782,140
Africa,TOTO,rock,1350745,141
Who Knows,Daniel Caesar,toronto,1349819,142
The Man Who Can't Be Moved,The Script,rock,1349075,143
A Couple Minutes,Olivia Dean,pop,1348112,144
Everybody Wants To Rule The World,Tears For Fears,new wave,1345799,145
No One Noticed,The Marías,rock,1342468,146
Without Me,Eminem,hip hop,1335886,147
Hips Don't Lie (w/ Wyclef Jean),Shakira,pop,1330852,148
Me Rehúso,Danny Ocean,soundtrack,1326162,149
"VeLDÁ (w/ Omar Courtz, Dei V)",Bad Bunny,reggaeton,1326149,150
Style,Taylor Swift,pop,1311077,152
Payphone (w/ Wiz Khalifa),Maroon 5,pop,1306200,153
Please Please Please,Sabrina Carpenter,pop,1296957,154
TU SANCHO,Fuerza Regida,billboard hot 100,1296297,155
Shut up My Moms Calling,Hotel Ugly,r&b,1294677,156
"Ready, Steady, Go!",Harry Styles,pop,1294001,157
We Found Love (w/ Calvin Harris),Rihanna,pop,1292535,158
Sex on Fire,Kings of Leon,alternative rock,1290404,159
Wonderwall - Remastered,Oasis,britpop,1286520,160
Too Sweet,Hozier,pop,1283948,161
"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",Macklemore & Ryan Lewis,hip hop,1282248,163
DAISIES,Justin Bieber,pop,1281664,164
Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),Post Malone,pop,1281251,165
Take on Me - 2015 Remaster,a-ha,pop,1279646,167
Can't Stop - 2014 Remaster,Red Hot Chili Peppers,alternative rock,1275766,169
Poker Face,Lady Gaga,pop,1275472,170
Cruel Summer,Taylor Swift,pop,1268541,172
Boys Don't Cry,The Cure,new wave,1263767,173
luther,Kendrick Lamar,hip hop,1260494,175
What You Saying,Lil Uzi Vert,rap,1259173,176
S&M,Rihanna,pop,1257351,177
No Pole,Don Toliver,billboard hot 100,1254541,178
Last Friday Night (T.G.I.F.),Katy Perry,pop,1251765,179
Just Keep Watching (From F1® The Movie) (w/ F1 The Album),Tate McRae,dolby atmos,1245007,181
Flashing Lights (w/ Dwele),Kanye West,pop,1241168,185
Gangsta's Paradise (w/ L.V.),Coolio,hip hop,1239884,187
nuts (w/ rainy bear),Lil Peep,hip hop,1237223,188
Perfect,Ed Sheeran,pop,1227709,190
Summertime Sadness,Lana Del Rey,indie pop,1227362,191
Come As You Are - Remastered,Nirvana,grunge,1224750,192
Breakin' Dishes,Rihanna,pop,1224675,193
The Chain - 2004 Remaster,Fleetwood Mac,rock,1210598,196
Love On The Brain,Rihanna,soul,1203160,197
Sign of the Times,Harry Styles,pop,1198929,198
Sorry,Justin Bieber,pop,1192146,199
Life Goes On,BTS,k-pop,1191777,200
